20231010 074400;15226.5;15229.75;15226.5;15227.5;149
20231010 074500;15227.75;15228.75;15226.25;15226.25;104
20231010 074600;15226.25;15228;15223.25;15224.25;213
20231010 074700;15224;15225;15218;15218;250
20231010 074800;15217.75;15222;15216.25;15219.75;345
20231010 074900;15219.5;15219.5;15216;15217;187
20231010 075000;15217;15222.25;15216.25;15217.5;147
20231010 075100;15217;15217.25;15214.5;15215.75;138
20231010 075200;15216;15216.25;15210.5;15211;233
20231010 075300;15211.5;15213.75;15206.25;15209.5;449
20231010 075400;15209.5;15209.5;15202;15203.75;401
20231010 075500;15203.5;15211.25;15202.25;15211.25;250
20231010 075600;15211;15214.75;15210.75;15211.5;254
20231010 075700;15211;15213;15210.75;15212.25;123
20231010 075800;15212.75;15214;15208.5;15212;156
20231010 075900;15212;15215;15210.25;15212.75;118
20231010 080000;15213;15216;15212.5;15213;101
20231010 080100;15213.25;15214.25;15205;15208.5;401
20231010 080200;15207.5;15215.75;15206.25;15213.25;374
20231010 080300;15213;15213.25;15204.5;15204.75;190
20231010 080400;15205.25;15207.75;15204.25;15204.75;128
20231010 080500;15205.25;15205.5;15198.25;15200;304
20231010 080600;15200.25;15206;15199.25;15202.25;211
20231010 080700;15202;15204.25;15198.5;15201.5;129
20231010 080800;15201.25;15201.25;15196;15197.5;204
20231010 080900;15197.5;15199.25;15196;15196.5;107
20231010 081000;15196;15198.75;15193.75;15196.75;291
20231010 081100;15196.5;15198.25;15196.25;15197.25;141
20231010 081200;15197.5;15198;15193.75;15194.5;116
20231010 081300;15195.25;15202.5;15194.25;15199.25;173
20231010 081400;15199.5;15224.25;15198.25;15217.5;2312
20231010 081500;15217.25;15217.5;15203.75;15207.5;692
20231010 081600;15208;15220.75;15203;15203.75;483
20231010 081700;15204.5;15209;15201.75;15204.5;305
20231010 081800;15205;15209.25;15204.75;15206.75;163
20231010 081900;15207.5;15210.75;15206.75;15208.5;155
20231010 082000;15209;15210.25;15205.25;15206.25;140
