20231010 074500;4376.75;4377.25;4376.75;4376.75;300
20231010 074600;4376.75;4377;4376;4376.25;363
20231010 074700;4376.5;4376.5;4375;4375;251
20231010 074800;4375;4376;4374.75;4375.5;300
20231010 074900;4375.25;4375.5;4374.75;4374.75;166
20231010 075000;4374.75;4375.75;4374.5;4374.75;221
20231010 075100;4374.75;4375;4374.25;4374.5;171
20231010 075200;4374.5;4374.5;4372.5;4372.75;357
20231010 075300;4372.5;4373.25;4371.25;4372;807
20231010 075400;4372;4372;4370.5;4371;376
20231010 075500;4370.75;4373;4370.5;4373;309
20231010 075600;4372.75;4373.5;4372.75;4372.75;248
20231010 075700;4372.75;4373.25;4372.75;4372.75;122
20231010 075800;4372.75;4373.25;4372;4372.5;191
20231010 075900;4372.5;4373.25;4372.25;4373;145
20231010 080000;4372.75;4373.25;4372.5;4373;172
20231010 080100;4372.75;4373;4371.25;4372.25;316
20231010 080200;4372.25;4374.5;4372;4374;455
20231010 080300;4374;4374;4371.75;4372;230
20231010 080400;4372;4372.75;4371.75;4372.25;190
20231010 080500;4372;4372.25;4370;4370.75;461
20231010 080600;4370.75;4372.5;4370.75;4371.5;223
20231010 080700;4371.5;4372;4370.5;4371.25;196
20231010 080800;4371.25;4371.25;4369.5;4370;357
20231010 080900;4370.25;4370.25;4369.5;4369.75;201
20231010 081000;4369.5;4370;4368.75;4369.75;358
20231010 081100;4369.75;4370;4369.5;4369.75;260
20231010 081200;4369.5;4369.5;4368.75;4369.25;184
20231010 081300;4369.25;4371.25;4369;4370.5;173
20231010 081400;4370.5;4376.75;4370;4374.75;3489
20231010 081500;4374.75;4374.75;4371.5;4372;1117
20231010 081600;4372.25;4375.75;4371;4371;752
20231010 081700;4371.25;4372.5;4370.75;4372.25;356
20231010 081800;4372;4373;4372;4372.25;250
20231010 081900;4372.25;4373;4372.25;4372.75;265
20231010 082000;4372.75;4373;4371.75;4371.75;232
20231010 082100;4372;4374.25;4372;4374;271
20231010 082200;4374;4375.5;4373.75;4375.5;272
20231010 082300;4375.75;4375.75;4374.5;4375.25;217
20231010 082400;4375.5;4377;4375.25;4376.5;309
20231010 082500;4376.5;4376.75;4375.5;4376.25;110
20231010 082600;4376.25;4377.75;4376;4377;298
20231010 082700;4377.25;4378.25;4377;4378.25;306
20231010 082800;4378;4378.25;4377;4377;304
20231010 082900;4376.75;4377.5;4376.75;4377;180
20231010 083000;4377;4378;4377;4377.5;243
20231010 083100;4377.5;4379;4377.25;4378.75;383
20231010 083200;4378.75;4378.75;4376.5;4376.5;390
20231010 083300;4376.5;4377.75;4376.5;4377.5;184
20231010 083400;4377.75;4378.5;4377.5;4378.25;208
20231010 083500;4378.5;4378.75;4377;4377.25;261
20231010 083600;4377.5;4377.5;4376.5;4377.25;210
20231010 083700;4377.5;4377.5;4377;4377.5;105
20231010 083800;4377.25;4377.5;4377;4377.25;111
20231010 083900;4377.5;4378.5;4377.5;4378.5;187
20231010 084000;4378;4378.5;4378;4378;118
20231010 084100;4377.75;4377.75;4376.75;4376.75;100
20231010 084200;4376.75;4377.25;4375.75;4376.25;175
20231010 084300;4376.25;4377.25;4376.25;4376.5;169
20231010 084400;4376.5;4376.75;4375.25;4375.75;165
20231010 084500;4375.5;4376.5;4374.75;4376.25;284
20231010 084600;4376;4377.5;4376;4377;181
20231010 084700;4377;4378;4377;4377.75;200
20231010 084800;4377.75;4378;4377.5;4377.5;133
20231010 084900;4377.5;4378.75;4377.5;4378.75;139
20231010 085000;4378.5;4379.5;4378.25;4379;364
20231010 085100;4379;4379.25;4378;4378.5;175
20231010 085200;4378.75;4380;4378.75;4379.5;445
20231010 085300;4379.25;4379.75;4379.25;4379.5;187
20231010 085400;4379.5;4379.75;4378.75;4379.75;154
20231010 085500;4379.75;4380;4379.25;4379.75;298
20231010 085600;4379.75;4381;4379.75;4380.25;538
20231010 085700;4380.25;4380.25;4378.25;4379;291
20231010 085800;4379;4379.75;4379;4379.25;109
20231010 085900;4379;4379.25;4378.5;4379.25;219
20231010 090000;4379.5;4379.5;4378.5;4379.5;151
20231010 090100;4379.5;4379.5;4377.5;4378;249
20231010 090200;4378;4378;4375.5;4375.75;372
20231010 090300;4376;4376;4375.25;4376;219
20231010 090400;4376;4376.25;4375.5;4376;174
20231010 090500;4376;4376.5;4375.75;4376.5;140
20231010 090600;4376.75;4377.75;4376.25;4377.25;237
20231010 090700;4377;4377.5;4376;4376.25;191
20231010 090800;4376.25;4376.75;4376;4376.25;125
20231010 090900;4376.25;4376.25;4374.75;4374.75;170
20231010 091000;4375;4376.25;4375;4376;204
20231010 091100;4376;4376.75;4375.75;4376;170
20231010 091200;4376.25;4377;4376.25;4377;91
20231010 091300;4377;4377;4375.25;4375.25;192
20231010 091400;4375.5;4375.75;4374.75;4375.25;110
20231010 091500;4375.25;4375.25;4374.5;4374.5;208
20231010 091600;4374.5;4375.75;4374.25;4375.75;169
20231010 091700;4375.75;4377.25;4375.75;4377.25;228
20231010 091800;4377.25;4377.75;4377;4377.75;217
20231010 091900;4377.5;4377.5;4376.75;4376.75;103
20231010 092000;4376.5;4377;4376;4376.75;95
20231010 092100;4376.75;4377.75;4376.5;4377;195
20231010 092200;4377;4377.5;4377;4377.5;94
20231010 092300;4377.5;4377.5;4376.5;4376.5;236
20231010 092400;4376.75;4378.25;4376.75;4378;387
20231010 092500;4378;4378;4377.5;4377.5;150
20231010 092600;4377.25;4378.5;4377;4378.25;202
20231010 092700;4378.25;4378.25;4377.5;4377.75;84
20231010 092800;4377.75;4378.25;4377.25;4377.25;87
20231010 092900;4377.5;4378;4377.25;4377.75;71
20231010 093000;4377.75;4378;4377.5;4378;37
20231010 093100;4377.75;4378;4375;4375.25;335
20231010 093200;4375.25;4376.25;4375;4375.75;147
20231010 093300;4375.75;4376.5;4375.5;4376.25;68
20231010 093400;4376;4376.5;4376;4376.5;216
20231010 093500;4376.75;4377.75;4376.5;4377.75;176
20231010 093600;4377.75;4377.75;4376;4376.25;156
20231010 093700;4376.25;4376.75;4376;4376;65
20231010 093800;4376;4376.25;4374.75;4375.75;256
20231010 093900;4375.75;4376;4375.5;4376;47
